835,669,1
851,136,6
554,986,0
797,309,2
817,238,3
416,20,20
856,573,1
684,154,4
886,835,1
896,574,1
708,34,20
514,789,0
375,807,0
807,649,1
788,810,0
808,862,0
175,681,0
101,611,0
388,344,1
940,121,7
78,278,0
474,708,0
533,615,0
762,266,2
626,906,0
411,596,0
927,438,2
587,729,0
137,518,0
842,665,1
767,637,1
633,829,0
309,152,2
185,65,2
761,303,2
616,786,0
990,184,5
431,578,0
470,712,0
375,893,0
851,278,3
561,263,2
606,966,0
700,908,0
913,31,29
265,59,4
960,442,2
947,864,1
377,319,1
67,100,0
836,390,2
775,236,3
214,54,3
258,3,86
16,293,0
231,221,1
452,861,0
455,345,1
447,351,1
794,953,0
706,239,2
506,681,0
531,76,6
203,962,0
192,738,0
486,482,1
499,38,13
205,594,0
129,717,0
97,444,0
69,169,0
910,558,1
658,250,2
25,599,0
821,245,3
872,669,1
336,243,1
967,193,5
955,312,3
547,16,34
990,637,1
63,534,0
753,437,1
340,321,1
748,746,1
622,807,0
514,921,0
849,181,4
112,488,0
282,542,0
12,346,0
442,292,1
993,765,1
37,966,0
310,857,0
521,69,7
110,788,0
570,349,1
794,166,4
626,45,13
602,87,6
502,842,0
540,896,0
219,926,0
627,205,3
303,441,0
40,372,0
717,713,1
854,226,3
872,132,6
487,491,0
912,935,0
220,707,0
323,473,0
266,534,0
474,625,0
208,729,0
316,752,0
21,819,0
33,629,0
22,875,0
300,852,0
877,319,2
84,242,0
205,334,0
188,159,1
90,427,0
933,624,1
638,374,1
261,407,0
373,992,0
297,314,0
746,332,2
566,493,1
90,293,0
845,901,0
46,95,0
293,891,0
487,790,0
339,512,0
138,389,0
532,387,1
947,364,2
723,620,1
485,761,0
37,340,0
359,713,0
857,388,2
427,299,1
478,294,1
528,578,0
517,163,3
215,997,0
702,882,0
794,749,1
190,754,0
688,50,13
917,572,1
78,898,0
878,24,36
191,991,0
199,227,0
180,500,0
808,690,1
263,708,0
809,501,1
985,79,12
500,195,2
492,785,0
834,93,8
106,745,0
522,258,2
804,115,6
227,319,0
983,794,1
194,832,0
48,662,0
623,632,0
672,141,4
418,481,0
43,434,0
723,768,0
627,511,1
719,464,1
649,823,0
926,553,1
243,557,0
578,221,2
857,811,1
690,295,2
442,848,0
732,496,1
475,144,3
505,95,5
151,505,0
145,900,0
187,728,0
256,98,2
64,558,0
161,511,0
243,971,0
334,713,0
121,669,0
962,830,1
692,509,1
69,688,0
283,966,0
263,915,0
573,291,1
192,260,0
86,851,0
579,552,1
274,52,5
99,583,0
838,545,1
286,459,0
198,753,0
854,969,0
449,462,0
94,202,0
696,734,0
978,910,1
958,842,1
279,950,0
378,177,2
169,292,0
439,648,0
627,185,3
748,56,13
489,707,0
415,908,0
442,49,9
77,253,0
898,845,1
285,228,1
707,861,0
226,163,1
907,837,1
87,488,0
680,588,1
588,247,2
344,993,0
567,307,1
550,899,0
238,953,0
598,394,1
625,202,3
634,813,0
485,842,0
981,145,6
842,257,3
868,234,3
406,806,0
29,185,0
514,419,1
375,706,0
58,497,0
489,513,0
418,425,0
710,97,7
164,19,8
382,161,2
606,967,0
113,219,0
857,342,2
180,137,1
964,811,1
565,526,1
870,836,1
659,775,0
35,295,0
319,4,79
862,707,1
519,863,0
764,828,0
873,80,10
201,906,0
989,770,1
900,311,2
211,862,0
101,771,0
139,874,0
848,694,1
115,253,0
185,945,0
251,153,1
230,673,0
652,478,1
20,417,0
983,559,1
442,243,1
755,803,0
738,442,1
270,643,0
942,111,8
404,611,0
911,15,60
101,6,16
976,117,8
721,730,0
961,345,2
47,181,0
263,340,0
91,11,8
97,599,0
557,485,1
326,463,0
470,856,0
130,759,0
798,655,1
568,171,3
617,277,2
160,188,0
848,867,0
521,932,0
619,2,309
2,416,0
804,30,26
899,581,1
951,320,2
265,664,0
61,934,0
614,334,1
1000,896,1
414,277,1
801,322,2
461,813,0
645,241,2
687,327,2
358,396,0
384,224,1
966,425,2
689,417,1
990,960,1
76,671,0
132,440,0
431,986,0
227,700,0
132,644,0
548,146,3
1,1000,0
379,392,0
555,28,19
340,531,0
686,908,0
508,797,0
511,252,2
364,746,0
498,74,6
48,232,0
815,950,0
198,440,0
591,639,0
650,117,5
421,580,0
103,744,0
1000,499,2
103,229,0
429,633,0
99,54,1
953,207,4
70,874,0
859,885,0
139,730,0
704,758,0
976,128,7
457,831,0
194,732,0
247,717,0
663,604,1
30,938,0
59,679,0
943,100,9
306,422,0
127,114,1
757,383,1
101,732,0
631,968,0
577,382,1
487,853,0
336,600,0
776,598,1
452,565,0
371,975,0
576,454,1
94,285,0
985,355,2
990,362,2
360,677,0
640,14,45
